ID;Regiao intermediaria;Regiao imediata;Municipio;Região Urbana;Bairro
347;Campo Grande;Campo Grande;Dois Irmaos do Buriti;Dois Irmaos do Buriti;Centro
348;Campo Grande;Campo Grande;Dois Irmaos do Buriti;Dois Irmaos do Buriti;Jardim Buriti
349;Campo Grande;Campo Grande;Jaraguari;Jaraguari;Jatoba
350;Campo Grande;Campo Grande;Nova Alvorada do Sul;Nova Alvorada do Sul;Agrovila Pana
351;Campo Grande;Campo Grande;Nova Alvorada do Sul;Nova Alvorada do Sul;Centro
352;Campo Grande;Campo Grande;Nova Alvorada do Sul;Nova Alvorada do Sul;Eldorado
353;Campo Grande;Campo Grande;Nova Alvorada do Sul;Nova Alvorada do Sul;Jardim Eldorado
354;Campo Grande;Campo Grande;Nova Alvorada do Sul;Nova Alvorada do Sul;Jardim Guanabara
355;Campo Grande;Campo Grande;Nova Alvorada do Sul;Nova Alvorada do Sul;Jd.Eldorado
356;Campo Grande;Campo Grande;Nova Alvorada do Sul;Nova Alvorada do Sul;Maria De Loudes
357;Campo Grande;Campo Grande;Nova Alvorada do Sul;Nova Alvorada do Sul;Maria De Lourdes
358;Campo Grande;Campo Grande;Nova Alvorada do Sul;Nova Alvorada do Sul;Maria De Lourdes Marscon Stradiotti
359;Campo Grande;Campo Grande;Nova Alvorada do Sul;Nova Alvorada do Sul;Maria De Lurdes
360;Campo Grande;Campo Grande;Nova Alvorada do Sul;Nova Alvorada do Sul;Nova Alvorada
361;Campo Grande;Campo Grande;Nova Alvorada do Sul;Nova Alvorada do Sul;Pana
362;Campo Grande;Campo Grande;Nova Alvorada do Sul;Nova Alvorada do Sul;Residencial Indaia II
363;Campo Grande;Campo Grande;Nova Alvorada do Sul;Nova Alvorada do Sul;Segredo
364;Campo Grande;Campo Grande;Nova Alvorada do Sul;Nova Alvorada do Sul;Vacilio Dias
365;Campo Grande;Campo Grande;Nova Alvorada do Sul;Nova Alvorada do Sul;Vila Bressan
366;Campo Grande;Campo Grande;Nova Alvorada do Sul;Nova Alvorada do Sul;Wilson Cardoso
367;Campo Grande;Campo Grande;Nova Alvorada do Sul;Nova Alvorada do Sul;Zona Rural
368;Campo Grande;Campo Grande;Ribas do Rio Pardo;Ribas do Rio Pardo;Altos Do Estoril
369;Campo Grande;Campo Grande;Ribas do Rio Pardo;Ribas do Rio Pardo;Area Rural De Ribas Do Rio Pardo
370;Campo Grande;Campo Grande;Ribas do Rio Pardo;Ribas do Rio Pardo;Boa Vista
371;Campo Grande;Campo Grande;Ribas do Rio Pardo;Ribas do Rio Pardo;Centro
372;Campo Grande;Campo Grande;Ribas do Rio Pardo;Ribas do Rio Pardo;Conjunto Habitacional Rio Pardo
373;Campo Grande;Campo Grande;Ribas do Rio Pardo;Ribas do Rio Pardo;Conjunto Habitacional Sao Joao
374;Campo Grande;Campo Grande;Ribas do Rio Pardo;Ribas do Rio Pardo;Jabour
375;Campo Grande;Campo Grande;Ribas do Rio Pardo;Ribas do Rio Pardo;Jardim Do Trabalhador I
376;Campo Grande;Campo Grande;Ribas do Rio Pardo;Ribas do Rio Pardo;Jardim Dos Estados
377;Campo Grande;Campo Grande;Ribas do Rio Pardo;Ribas do Rio Pardo;Jardim Nova Esperanca
378;Campo Grande;Campo Grande;Ribas do Rio Pardo;Ribas do Rio Pardo;Jardim Vista Alegre
379;Campo Grande;Campo Grande;Ribas do Rio Pardo;Ribas do Rio Pardo;Nossa Senhora Da Aparecida
380;Campo Grande;Campo Grande;Ribas do Rio Pardo;Ribas do Rio Pardo;Nossa Senhora Da Conceicao II
381;Campo Grande;Campo Grande;Ribas do Rio Pardo;Ribas do Rio Pardo;Parque Estoril
382;Campo Grande;Campo Grande;Ribas do Rio Pardo;Ribas do Rio Pardo;Parque Estoril I
383;Campo Grande;Campo Grande;Ribas do Rio Pardo;Ribas do Rio Pardo;Parque Estoril IV
384;Campo Grande;Campo Grande;Ribas do Rio Pardo;Ribas do Rio Pardo;Parque Planalto
385;Campo Grande;Campo Grande;Ribas do Rio Pardo;Ribas do Rio Pardo;Polo Industrial
386;Campo Grande;Campo Grande;Ribas do Rio Pardo;Ribas do Rio Pardo;Residencial Santo Antonio
387;Campo Grande;Campo Grande;Ribas do Rio Pardo;Ribas do Rio Pardo;Santo Andre
388;Campo Grande;Campo Grande;Ribas do Rio Pardo;Ribas do Rio Pardo;Santo Dumont
389;Campo Grande;Campo Grande;Ribas do Rio Pardo;Ribas do Rio Pardo;Sao Francisco
390;Campo Grande;Campo Grande;Ribas do Rio Pardo;Ribas do Rio Pardo;Sao Joaquim
391;Campo Grande;Campo Grande;Ribas do Rio Pardo;Ribas do Rio Pardo;Sao Sebastiao
392;Campo Grande;Campo Grande;Ribas do Rio Pardo;Ribas do Rio Pardo;Zona Rural
393;Campo Grande;Campo Grande;Rio Negro;Rio Negro;Centro
394;Campo Grande;Campo Grande;Rio Negro;Rio Negro;Cohab II
395;Campo Grande;Campo Grande;Rochedo;Rochedo;Centro
396;Campo Grande;Campo Grande;Rochedo;Rochedo;Leomar Roberto Theodoro
397;Campo Grande;Campo Grande;Rochedo;Rochedo;Leomar Teodoro
398;Campo Grande;Campo Grande;Rochedo;Rochedo;Parque Dos Diamantes
399;Campo Grande;Campo Grande;Rochedo;Rochedo;Vale Do Aquidauana
400;Campo Grande;Campo Grande;Sao Gabriel do Oeste;Sao Gabriel do Oeste;Amabile Maffissoni
401;Campo Grande;Campo Grande;Sao Gabriel do Oeste;Sao Gabriel do Oeste;Capao Redondo II
402;Campo Grande;Campo Grande;Sao Gabriel do Oeste;Sao Gabriel do Oeste;Centro
403;Campo Grande;Campo Grande;Sao Gabriel do Oeste;Sao Gabriel do Oeste;Cidade Jardim
404;Campo Grande;Campo Grande;Sao Gabriel do Oeste;Sao Gabriel do Oeste;Cidades
405;Campo Grande;Campo Grande;Sao Gabriel do Oeste;Sao Gabriel do Oeste;Fenix
406;Campo Grande;Campo Grande;Sao Gabriel do Oeste;Sao Gabriel do Oeste;Jardim Gramado
407;Campo Grande;Campo Grande;Sao Gabriel do Oeste;Sao Gabriel do Oeste;Jardim Primavera
408;Campo Grande;Campo Grande;Sao Gabriel do Oeste;Sao Gabriel do Oeste;Lot Rui Neves Ribas I
409;Campo Grande;Campo Grande;Sao Gabriel do Oeste;Sao Gabriel do Oeste;Milani
410;Campo Grande;Campo Grande;Sao Gabriel do Oeste;Sao Gabriel do Oeste;Ponte Vermelha
411;Campo Grande;Campo Grande;Sao Gabriel do Oeste;Sao Gabriel do Oeste;Primo Maffissoni
412;Campo Grande;Campo Grande;Sao Gabriel do Oeste;Sao Gabriel do Oeste;Sao Cristovao
413;Campo Grande;Campo Grande;Sao Gabriel do Oeste;Sao Gabriel do Oeste;Zona Rural
414;Campo Grande;Campo Grande;Sidrolandia;Sidrolandia;Aldeia Terere
415;Campo Grande;Campo Grande;Sidrolandia;Sidrolandia;Alto Da Figueira
416;Campo Grande;Campo Grande;Sidrolandia;Sidrolandia;Assentamento
417;Campo Grande;Campo Grande;Sidrolandia;Sidrolandia;Assentamento Geraldo Garcia
418;Campo Grande;Campo Grande;Sidrolandia;Sidrolandia;Campina Ipacaray
419;Campo Grande;Campo Grande;Sidrolandia;Sidrolandia;Cascatinha
420;Campo Grande;Campo Grande;Sidrolandia;Sidrolandia;Cascatinha 1
421;Campo Grande;Campo Grande;Sidrolandia;Sidrolandia;Cascatinha II
422;Campo Grande;Campo Grande;Sidrolandia;Sidrolandia;Centro
423;Campo Grande;Campo Grande;Sidrolandia;Sidrolandia;Diva Nantes
424;Campo Grande;Campo Grande;Sidrolandia;Sidrolandia;Jandaia
425;Campo Grande;Campo Grande;Sidrolandia;Sidrolandia;Jardim Do Sul
426;Campo Grande;Campo Grande;Sidrolandia;Sidrolandia;Parque Das Orquideas
427;Campo Grande;Campo Grande;Sidrolandia;Sidrolandia;Pe De Cedro
428;Campo Grande;Campo Grande;Sidrolandia;Sidrolandia;Perola Do Planalto
429;Campo Grande;Campo Grande;Sidrolandia;Sidrolandia;Quebra Coco
430;Campo Grande;Campo Grande;Sidrolandia;Sidrolandia;Rua Centro
431;Campo Grande;Campo Grande;Sidrolandia;Sidrolandia;Sao Bento
432;Campo Grande;Campo Grande;Sidrolandia;Sidrolandia;Sidrolar 1
433;Campo Grande;Campo Grande;Sidrolandia;Sidrolandia;Sitiolandia
434;Campo Grande;Campo Grande;Sidrolandia;Sidrolandia;Vila Carinhosa
435;Campo Grande;Campo Grande;Sidrolandia;Sidrolandia;Zona  Rural
436;Campo Grande;Campo Grande;Sidrolandia;Sidrolandia;Zona Rural
437;Campo Grande;Campo Grande;Terenos;Terenos;Area Rural De Terenos
438;Campo Grande;Campo Grande;Terenos;Terenos;Centro
439;Campo Grande;Campo Grande;Terenos;Terenos;Conjunto Habitacional Terenos
440;Campo Grande;Campo Grande;Terenos;Terenos;Jardim America
441;Campo Grande;Campo Grande;Terenos;Terenos;Jardim Bodoquena II
442;Campo Grande;Campo Grande;Terenos;Terenos;Jardim Do Cerrado I
443;Campo Grande;Campo Grande;Terenos;Terenos;Residencial Heitor Rodrigues
444;Campo Grande;Campo Grande;Terenos;Terenos;Vila Camilo Boni
445;Campo Grande;Campo Grande;Terenos;Terenos;Vila Demetria Veiga
446;Campo Grande;Campo Grande;Terenos;Terenos;Vila Entroncamento
447;Campo Grande;Campo Grande;Terenos;Terenos;Vila Ferreira
448;Campo Grande;Coxim;Alcinopolis;Alcinopolis;Centro
449;Campo Grande;Coxim;Alcinopolis;Alcinopolis;Polo Industrial
450;Campo Grande;Coxim;Alcinopolis;Alcinopolis;Vila Manoel Domingos De Souza
451;Campo Grande;Coxim;Alcinopolis;Alcinopolis;Zona Rural
452;Campo Grande;Coxim;Costa Rica;Costa Rica;Cachoeira
453;Campo Grande;Coxim;Costa Rica;Costa Rica;Centro
454;Campo Grande;Coxim;Costa Rica;Costa Rica;Distrito De Lajes
455;Campo Grande;Coxim;Costa Rica;Costa Rica;Flamboyant
456;Campo Grande;Coxim;Costa Rica;Costa Rica;Flor Do Campo
457;Campo Grande;Coxim;Costa Rica;Costa Rica;Flor Do Cerado
458;Campo Grande;Coxim;Costa Rica;Costa Rica;Flor Do Cerrado
459;Campo Grande;Coxim;Costa Rica;Costa Rica;Jardim Bueno Aires
460;Campo Grande;Coxim;Costa Rica;Costa Rica;Jardim Eldorado
461;Campo Grande;Coxim;Costa Rica;Costa Rica;Jardim Eminassai
462;Campo Grande;Coxim;Costa Rica;Costa Rica;Jardim Liberdade
463;Campo Grande;Coxim;Costa Rica;Costa Rica;Jardim Morada Do Sol
464;Campo Grande;Coxim;Costa Rica;Costa Rica;Jardim Planalto
465;Campo Grande;Coxim;Costa Rica;Costa Rica;Jardim Sao Domingos
466;Campo Grande;Coxim;Costa Rica;Costa Rica;Jatobas
467;Campo Grande;Coxim;Costa Rica;Costa Rica;Jd Imbirussu
468;Campo Grande;Coxim;Costa Rica;Costa Rica;Lote Flor Do Campo
469;Campo Grande;Coxim;Costa Rica;Costa Rica;Novo Horizonte
470;Campo Grande;Coxim;Costa Rica;Costa Rica;Parque Industrial
471;Campo Grande;Coxim;Costa Rica;Costa Rica;Recanto Do Sol
472;Campo Grande;Coxim;Costa Rica;Costa Rica;Resid. Figueira
473;Campo Grande;Coxim;Costa Rica;Costa Rica;Residencial Barbosa
474;Campo Grande;Coxim;Costa Rica;Costa Rica;Residencial Cachoeira
475;Campo Grande;Coxim;Costa Rica;Costa Rica;Santana
476;Campo Grande;Coxim;Costa Rica;Costa Rica;Sonho Meu 3
477;Campo Grande;Coxim;Costa Rica;Costa Rica;Sonho Meu 4
478;Campo Grande;Coxim;Costa Rica;Costa Rica;Sonho Meu 5
479;Campo Grande;Coxim;Costa Rica;Costa Rica;Sonho Meu 6
480;Campo Grande;Coxim;Costa Rica;Costa Rica;Sonho Meu III
481;Campo Grande;Coxim;Costa Rica;Costa Rica;Vale Do Amanhecer
482;Campo Grande;Coxim;Costa Rica;Costa Rica;Vila Alvorada
483;Campo Grande;Coxim;Costa Rica;Costa Rica;Vila Nunes
484;Campo Grande;Coxim;Costa Rica;Costa Rica;Vila Santana
485;Campo Grande;Coxim;Costa Rica;Costa Rica;Zona Rural
486;Campo Grande;Coxim;Coxim;Coxim;Agua Clara
487;Campo Grande;Coxim;Coxim;Coxim;Alto Sao Pedro
488;Campo Grande;Coxim;Coxim;Coxim;Altos Sao Pedro
489;Campo Grande;Coxim;Coxim;Coxim;Bnh
490;Campo Grande;Coxim;Coxim;Coxim;Centro
491;Campo Grande;Coxim;Coxim;Coxim;Flavio Garcia
492;Campo Grande;Coxim;Coxim;Coxim;Jardim Sao Paulo
493;Campo Grande;Coxim;Coxim;Coxim;Jardim Vista Alegre
494;Campo Grande;Coxim;Coxim;Coxim;Jorge Ritt
495;Campo Grande;Coxim;Coxim;Coxim;Morada Alto Sao Pedro
496;Campo Grande;Coxim;Coxim;Coxim;Morada Altos De Sao Pedro
497;Campo Grande;Coxim;Coxim;Coxim;Morada Altos Sao Pedro
498;Campo Grande;Coxim;Coxim;Coxim;Nossa Senhora Aparecida
499;Campo Grande;Coxim;Coxim;Coxim;Pequi
500;Campo Grande;Coxim;Coxim;Coxim;Piracema
501;Campo Grande;Coxim;Coxim;Coxim;Portal Do Pantanal
502;Campo Grande;Coxim;Coxim;Coxim;Residencial Pe De Cedro
503;Campo Grande;Coxim;Coxim;Coxim;Senhor Divino
504;Campo Grande;Coxim;Coxim;Coxim;Silviolandia
505;Campo Grande;Coxim;Coxim;Coxim;Silvolandia
506;Campo Grande;Coxim;Coxim;Coxim;Vila Bela
507;Campo Grande;Coxim;Coxim;Coxim;Vila Planalto
508;Campo Grande;Coxim;Coxim;Coxim;Vila Santa Clara
509;Campo Grande;Coxim;Coxim;Coxim;Vila Santa Maria
510;Campo Grande;Coxim;Coxim;Coxim;Vila Sao Paulo
511;Campo Grande;Coxim;Coxim;Coxim;Zona Suburbana
512;Campo Grande;Coxim;Figueirao;Figueirao;Boa Vida
513;Campo Grande;Coxim;Figueirao;Figueirao;Figueirao Velho
514;Campo Grande;Coxim;Figueirao;Figueirao;Jardim Aeroporto
515;Campo Grande;Coxim;Figueirao;Figueirao;Nova Conquista
516;Campo Grande;Coxim;Figueirao;Figueirao;Vila Maria
517;Campo Grande;Coxim;Pedro Gomes;Pedro Gomes;Centro
518;Campo Grande;Coxim;Pedro Gomes;Pedro Gomes;Marcelino Jose Bernardo
519;Campo Grande;Coxim;Rio Verde de Mato Grosso;Rio Verde de Mato Grosso;Ariovaldo Pereira
520;Campo Grande;Coxim;Rio Verde de Mato Grosso;Rio Verde de Mato Grosso;Barra Verde
521;Campo Grande;Coxim;Rio Verde de Mato Grosso;Rio Verde de Mato Grosso;Bella Suica
522;Campo Grande;Coxim;Rio Verde de Mato Grosso;Rio Verde de Mato Grosso;Campo Alegre
523;Campo Grande;Coxim;Rio Verde de Mato Grosso;Rio Verde de Mato Grosso;Centro
524;Campo Grande;Coxim;Rio Verde de Mato Grosso;Rio Verde de Mato Grosso;Coronel Manoel Mariano
525;Campo Grande;Coxim;Rio Verde de Mato Grosso;Rio Verde de Mato Grosso;Jardim Bella Suica
526;Campo Grande;Coxim;Rio Verde de Mato Grosso;Rio Verde de Mato Grosso;Jardim Dos Estados
527;Campo Grande;Coxim;Rio Verde de Mato Grosso;Rio Verde de Mato Grosso;Jardim Jose Antonio
528;Campo Grande;Coxim;Rio Verde de Mato Grosso;Rio Verde de Mato Grosso;Jardim Planalto
529;Campo Grande;Coxim;Rio Verde de Mato Grosso;Rio Verde de Mato Grosso;Nova Esperanca
530;Campo Grande;Coxim;Rio Verde de Mato Grosso;Rio Verde de Mato Grosso;Nova Rio Verde
531;Campo Grande;Coxim;Rio Verde de Mato Grosso;Rio Verde de Mato Grosso;Santa Rosa
532;Campo Grande;Coxim;Rio Verde de Mato Grosso;Rio Verde de Mato Grosso;Santa Terezinha
533;Campo Grande;Coxim;Rio Verde de Mato Grosso;Rio Verde de Mato Grosso;Vila Nilva De Farias
534;Campo Grande;Coxim;Rio Verde de Mato Grosso;Rio Verde de Mato Grosso;Vila Sao Jose
535;Campo Grande;Coxim;Sonora;Sonora;Belo Horizonte
536;Campo Grande;Coxim;Sonora;Sonora;Centro
537;Campo Grande;Coxim;Sonora;Sonora;Jardim Dos Estados
538;Campo Grande;Coxim;Sonora;Sonora;Novo Tempo
539;Campo Grande;Coxim;Sonora;Sonora;Plan Do Correntes
540;Campo Grande;Coxim;Sonora;Sonora;Sol Nascente
541;Campo Grande;Coxim;Sonora;Sonora;Terceiro Milenio
542;Campo Grande;Coxim;Sonora;Sonora;Vale Corrente
543;Campo Grande;Coxim;Sonora;Sonora;Vista Do Lago
544;Campo Grande;Coxim;Sonora;Sonora;Vista Do Lago 2
545;Campo Grande;Paranaiba-Chapadao do Sul-Cassilandia;Aparecida do Taboado;Aparecida do Taboado;Centro
546;Campo Grande;Paranaiba-Chapadao do Sul-Cassilandia;Aparecida do Taboado;Aparecida do Taboado;Chacara Boa Vista
547;Campo Grande;Paranaiba-Chapadao do Sul-Cassilandia;Aparecida do Taboado;Aparecida do Taboado;Cidada Nova
548;Campo Grande;Paranaiba-Chapadao do Sul-Cassilandia;Aparecida do Taboado;Aparecida do Taboado;Jardim Aeroporto
549;Campo Grande;Paranaiba-Chapadao do Sul-Cassilandia;Aparecida do Taboado;Aparecida do Taboado;Jardim Brandini
550;Campo Grande;Paranaiba-Chapadao do Sul-Cassilandia;Aparecida do Taboado;Aparecida do Taboado;Jardim Do Lago
551;Campo Grande;Paranaiba-Chapadao do Sul-Cassilandia;Aparecida do Taboado;Aparecida do Taboado;Jardim Morumbi
552;Campo Grande;Paranaiba-Chapadao do Sul-Cassilandia;Aparecida do Taboado;Aparecida do Taboado;Jardim Samara
553;Campo Grande;Paranaiba-Chapadao do Sul-Cassilandia;Aparecida do Taboado;Aparecida do Taboado;Residencial Cidade Nova
554;Campo Grande;Paranaiba-Chapadao do Sul-Cassilandia;Aparecida do Taboado;Aparecida do Taboado;Residencial Sao Gabriel
555;Campo Grande;Paranaiba-Chapadao do Sul-Cassilandia;Aparecida do Taboado;Aparecida do Taboado;Residencial Tia Chica II
556;Campo Grande;Paranaiba-Chapadao do Sul-Cassilandia;Aparecida do Taboado;Aparecida do Taboado;Sao Vicente
557;Campo Grande;Paranaiba-Chapadao do Sul-Cassilandia;Aparecida do Taboado;Aparecida do Taboado;Vila Barbosa
558;Campo Grande;Paranaiba-Chapadao do Sul-Cassilandia;Aparecida do Taboado;Aparecida do Taboado;Vila Dourado
559;Campo Grande;Paranaiba-Chapadao do Sul-Cassilandia;Aparecida do Taboado;Aparecida do Taboado;Vila Pereira
560;Campo Grande;Paranaiba-Chapadao do Sul-Cassilandia;Aparecida do Taboado;Aparecida do Taboado;Vila Sao Jose
561;Campo Grande;Paranaiba-Chapadao do Sul-Cassilandia;Aparecida do Taboado;Aparecida do Taboado;Vila Sao Luiz
562;Campo Grande;Paranaiba-Chapadao do Sul-Cassilandia;Aparecida do Taboado;Aparecida do Taboado;Vilas Boas
563;Campo Grande;Paranaiba-Chapadao do Sul-Cassilandia;Cassilandia;Cassilandia;Alto Izanopolis
564;Campo Grande;Paranaiba-Chapadao do Sul-Cassilandia;Cassilandia;Cassilandia;Bairro Imperatriz
565;Campo Grande;Paranaiba-Chapadao do Sul-Cassilandia;Cassilandia;Cassilandia;Bom Jesus
566;Campo Grande;Paranaiba-Chapadao do Sul-Cassilandia;Cassilandia;Cassilandia;Bom Jesus Da Lapa
567;Campo Grande;Paranaiba-Chapadao do Sul-Cassilandia;Cassilandia;Cassilandia;Centro
568;Campo Grande;Paranaiba-Chapadao do Sul-Cassilandia;Cassilandia;Cassilandia;Jardim Campo Grande
569;Campo Grande;Paranaiba-Chapadao do Sul-Cassilandia;Cassilandia;Cassilandia;Jardim Minas Gerais
570;Campo Grande;Paranaiba-Chapadao do Sul-Cassilandia;Cassilandia;Cassilandia;Laranjeiras
571;Campo Grande;Paranaiba-Chapadao do Sul-Cassilandia;Cassilandia;Cassilandia;Vila Izanopolis
572;Campo Grande;Paranaiba-Chapadao do Sul-Cassilandia;Cassilandia;Cassilandia;Vila Pernambuco
573;Campo Grande;Paranaiba-Chapadao do Sul-Cassilandia;Chapadao do Sul;Chapadao do Sul;Area Rural
574;Campo Grande;Paranaiba-Chapadao do Sul-Cassilandia;Chapadao do Sul;Chapadao do Sul;Centro
575;Campo Grande;Paranaiba-Chapadao do Sul-Cassilandia;Chapadao do Sul;Chapadao do Sul;Chapadao Do Sul
576;Campo Grande;Paranaiba-Chapadao do Sul-Cassilandia;Chapadao do Sul;Chapadao do Sul;Condominio Parque Dos Eucaliptos
577;Campo Grande;Paranaiba-Chapadao do Sul-Cassilandia;Chapadao do Sul;Chapadao do Sul;Das Palmeiras
578;Campo Grande;Paranaiba-Chapadao do Sul-Cassilandia;Chapadao do Sul;Chapadao do Sul;Espatodea
579;Campo Grande;Paranaiba-Chapadao do Sul-Cassilandia;Chapadao do Sul;Chapadao do Sul;Espatodia
580;Campo Grande;Paranaiba-Chapadao do Sul-Cassilandia;Chapadao do Sul;Chapadao do Sul;Esperanca
581;Campo Grande;Paranaiba-Chapadao do Sul-Cassilandia;Chapadao do Sul;Chapadao do Sul;Esplanada
582;Campo Grande;Paranaiba-Chapadao do Sul-Cassilandia;Chapadao do Sul;Chapadao do Sul;Esplanada 03
583;Campo Grande;Paranaiba-Chapadao do Sul-Cassilandia;Chapadao do Sul;Chapadao do Sul;Esplanada 3
584;Campo Grande;Paranaiba-Chapadao do Sul-Cassilandia;Chapadao do Sul;Chapadao do Sul;Esplanada 4
585;Campo Grande;Paranaiba-Chapadao do Sul-Cassilandia;Chapadao do Sul;Chapadao do Sul;Esplanada II
586;Campo Grande;Paranaiba-Chapadao do Sul-Cassilandia;Chapadao do Sul;Chapadao do Sul;Esplanada III
587;Campo Grande;Paranaiba-Chapadao do Sul-Cassilandia;Chapadao do Sul;Chapadao do Sul;Esplanada IV
588;Campo Grande;Paranaiba-Chapadao do Sul-Cassilandia;Chapadao do Sul;Chapadao do Sul;Esplanada V
589;Campo Grande;Paranaiba-Chapadao do Sul-Cassilandia;Chapadao do Sul;Chapadao do Sul;Flamboyant
590;Campo Grande;Paranaiba-Chapadao do Sul-Cassilandia;Chapadao do Sul;Chapadao do Sul;Greenville
591;Campo Grande;Paranaiba-Chapadao do Sul-Cassilandia;Chapadao do Sul;Chapadao do Sul;Palmeira
592;Campo Grande;Paranaiba-Chapadao do Sul-Cassilandia;Chapadao do Sul;Chapadao do Sul;Palmeiras
593;Campo Grande;Paranaiba-Chapadao do Sul-Cassilandia;Chapadao do Sul;Chapadao do Sul;Parque Uniao
594;Campo Grande;Paranaiba-Chapadao do Sul-Cassilandia;Chapadao do Sul;Chapadao do Sul;Perimetro Urbano
595;Campo Grande;Paranaiba-Chapadao do Sul-Cassilandia;Chapadao do Sul;Chapadao do Sul;Planalto
596;Campo Grande;Paranaiba-Chapadao do Sul-Cassilandia;Chapadao do Sul;Chapadao do Sul;Polo Empresarial
597;Campo Grande;Paranaiba-Chapadao do Sul-Cassilandia;Chapadao do Sul;Chapadao do Sul;Reserva Das Nacoes
598;Campo Grande;Paranaiba-Chapadao do Sul-Cassilandia;Chapadao do Sul;Chapadao do Sul;Rodovia
599;Campo Grande;Paranaiba-Chapadao do Sul-Cassilandia;Chapadao do Sul;Chapadao do Sul;Royal Park
600;Campo Grande;Paranaiba-Chapadao do Sul-Cassilandia;Chapadao do Sul;Chapadao do Sul;Sibipiruna
601;Campo Grande;Paranaiba-Chapadao do Sul-Cassilandia;Chapadao do Sul;Chapadao do Sul;Sucupira
602;Campo Grande;Paranaiba-Chapadao do Sul-Cassilandia;Inocencia;Inocencia;Centro
603;Campo Grande;Paranaiba-Chapadao do Sul-Cassilandia;Inocencia;Inocencia;Centro (Sao Pedro)
604;Campo Grande;Paranaiba-Chapadao do Sul-Cassilandia;Inocencia;Inocencia;Jardim Alvorada
605;Campo Grande;Paranaiba-Chapadao do Sul-Cassilandia;Inocencia;Inocencia;Jardim Boa Esperanca
606;Campo Grande;Paranaiba-Chapadao do Sul-Cassilandia;Inocencia;Inocencia;Jardim Bocaina
607;Campo Grande;Paranaiba-Chapadao do Sul-Cassilandia;Inocencia;Inocencia;Jardim Bom Jesus
608;Campo Grande;Paranaiba-Chapadao do Sul-Cassilandia;Inocencia;Inocencia;Jardim Pantanal
609;Campo Grande;Paranaiba-Chapadao do Sul-Cassilandia;Inocencia;Inocencia;Sao Pedro
610;Campo Grande;Paranaiba-Chapadao do Sul-Cassilandia;Paraiso das aguas;Paraiso das aguas;Area Rural De Paraiso Das Aguas
611;Campo Grande;Paranaiba-Chapadao do Sul-Cassilandia;Paraiso das aguas;Paraiso das aguas;Distrito De Pouso Alto
612;Campo Grande;Paranaiba-Chapadao do Sul-Cassilandia;Paraiso das aguas;Paraiso das aguas;Patrimonio Do Paraiso
613;Campo Grande;Paranaiba-Chapadao do Sul-Cassilandia;Paraiso das aguas;Paraiso das aguas;Pouso Alto
614;Campo Grande;Paranaiba-Chapadao do Sul-Cassilandia;Paranaiba;Paranaiba;Centro
615;Campo Grande;Paranaiba-Chapadao do Sul-Cassilandia;Paranaiba;Paranaiba;Centro/Paranaiba
616;Campo Grande;Paranaiba-Chapadao do Sul-Cassilandia;Paranaiba;Paranaiba;Daniel 05
617;Campo Grande;Paranaiba-Chapadao do Sul-Cassilandia;Paranaiba;Paranaiba;Daniel Vi
618;Campo Grande;Paranaiba-Chapadao do Sul-Cassilandia;Paranaiba;Paranaiba;De Lourdes
619;Campo Grande;Paranaiba-Chapadao do Sul-Cassilandia;Paranaiba;Paranaiba;Industrial De Lourdes
620;Campo Grande;Paranaiba-Chapadao do Sul-Cassilandia;Paranaiba;Paranaiba;Ipe Branco I
621;Campo Grande;Paranaiba-Chapadao do Sul-Cassilandia;Paranaiba;Paranaiba;Jardim America
622;Campo Grande;Paranaiba-Chapadao do Sul-Cassilandia;Paranaiba;Paranaiba;Jardim Daniel II
623;Campo Grande;Paranaiba-Chapadao do Sul-Cassilandia;Paranaiba;Paranaiba;Jardim Ipiranga
624;Campo Grande;Paranaiba-Chapadao do Sul-Cassilandia;Paranaiba;Paranaiba;Jardim Redentora
625;Campo Grande;Paranaiba-Chapadao do Sul-Cassilandia;Paranaiba;Paranaiba;Jardim Redentora Dos Buritis
626;Campo Grande;Paranaiba-Chapadao do Sul-Cassilandia;Paranaiba;Paranaiba;Jd America 2
627;Campo Grande;Paranaiba-Chapadao do Sul-Cassilandia;Paranaiba;Paranaiba;Jd Redentora
628;Campo Grande;Paranaiba-Chapadao do Sul-Cassilandia;Paranaiba;Paranaiba;Loteamento Santa Maria
629;Campo Grande;Paranaiba-Chapadao do Sul-Cassilandia;Paranaiba;Paranaiba;Salome
630;Campo Grande;Paranaiba-Chapadao do Sul-Cassilandia;Paranaiba;Paranaiba;Santa Lucia
631;Campo Grande;Paranaiba-Chapadao do Sul-Cassilandia;Paranaiba;Paranaiba;Santa Maria
632;Campo Grande;Paranaiba-Chapadao do Sul-Cassilandia;Paranaiba;Paranaiba;Santa Monica
633;Campo Grande;Paranaiba-Chapadao do Sul-Cassilandia;Paranaiba;Paranaiba;Santo Antonio
634;Campo Grande;Paranaiba-Chapadao do Sul-Cassilandia;Paranaiba;Paranaiba;Sao Joao Do Apore
635;Campo Grande;Paranaiba-Chapadao do Sul-Cassilandia;Paranaiba;Paranaiba;Sao Jose
636;Campo Grande;Paranaiba-Chapadao do Sul-Cassilandia;Paranaiba;Paranaiba;Sibipiruna
637;Campo Grande;Paranaiba-Chapadao do Sul-Cassilandia;Paranaiba;Paranaiba;Universitario II
