ID;Regiao intermediaria;Regiao imediata;Municipio;Região Urbana;Bairro
81;Campo Grande;Campo Grande;Campo Grande;Bandeira;Jardim Campina Verde
82;Campo Grande;Campo Grande;Campo Grande;Bandeira;Jardim Campo Alto
83;Campo Grande;Campo Grande;Campo Grande;Segredo;Jardim Campo Belo
84;Campo Grande;Campo Grande;Campo Grande;Anhanduizinho;Jardim Campo Nobre
85;Campo Grande;Campo Grande;Campo Grande;Anhanduizinho;Jardim Canguru
86;Campo Grande;Campo Grande;Campo Grande;Imbirussu;Jardim Carioca
87;Campo Grande;Campo Grande;Campo Grande;Anhanduizinho;Jardim Centenario
88;Campo Grande;Campo Grande;Campo Grande;Anhanduizinho;Jardim Centro Oeste
89;Campo Grande;Campo Grande;Campo Grande;Anhanduizinho;Jardim Colibri
90;Campo Grande;Campo Grande;Campo Grande;Anhanduizinho;Jardim Colibri II
91;Campo Grande;Campo Grande;Campo Grande;Anhanduizinho;Jardim Colorado
92;Campo Grande;Campo Grande;Campo Grande;Segredo;Jardim Columbia
93;Campo Grande;Campo Grande;Campo Grande;Lagoa;Jardim Corcovado
94;Campo Grande;Campo Grande;Campo Grande;Segredo;Jardim Das Cerejeiras
95;Campo Grande;Campo Grande;Campo Grande;Anhanduizinho;Jardim Das Hortencias
96;Campo Grande;Campo Grande;Campo Grande;Anhanduizinho;Jardim Das Macaubas
97;Campo Grande;Campo Grande;Campo Grande;Anhanduizinho;Jardim Das Nacoes
98;Campo Grande;Campo Grande;Campo Grande;Imbirussu;Jardim Das Virtudes
99;Campo Grande;Campo Grande;Campo Grande;Imbirussu;Jardim Do Ze Pereira
100;Campo Grande;Campo Grande;Campo Grande;Centro;Jardim Dos Estados
101;Campo Grande;Campo Grande;Campo Grande;Lagoa;Jardim Enseada Dos Passaros
102;Campo Grande;Campo Grande;Campo Grande;Imbirussu;Jardim Ima
103;Campo Grande;Campo Grande;Campo Grande;Imbirussu;Jardim Inapolis
104;Campo Grande;Campo Grande;Campo Grande;Imbirussu;Jardim Italia
105;Campo Grande;Campo Grande;Campo Grande;Bandeira;Jardim Itamaraca
106;Campo Grande;Campo Grande;Campo Grande;Imbirussu;Jardim Itapua
107;Campo Grande;Campo Grande;Campo Grande;Bandeira;Jardim Itatiaia
108;Campo Grande;Campo Grande;Campo Grande;Prosa;Jardim Jacaranda
109;Campo Grande;Campo Grande;Campo Grande;Anhanduizinho;Jardim Jacy
110;Campo Grande;Campo Grande;Campo Grande;Anhanduizinho;Jardim Jatoba
111;Campo Grande;Campo Grande;Campo Grande;Bandeira;Jardim Jerusalem
112;Campo Grande;Campo Grande;Campo Grande;Anhanduizinho;Jardim Jockey Club
113;Campo Grande;Campo Grande;Campo Grande;Lagoa;Jardim Leblon
114;Campo Grande;Campo Grande;Campo Grande;Anhanduizinho;Jardim Manaira
115;Campo Grande;Campo Grande;Campo Grande;Bandeira;Jardim Mansur
