CEP,lat,lon,source,status
79826020,-22.222521,-54.8138789,cepaberto,Success
79955000,-22.860102,-54.6066264,cepaberto,Success
79801003,-22.223561,-54.8125486,cepaberto,Success
79880000,-22.040956,-54.6162595,cepaberto,Success
79260000,-22.1077832,-56.5268052,cepaberto,Success
79005250,-20.4748799,-54.619092,cepaberto,Success
79630020,-20.7881689,-51.7030483,cepaberto,Success
79108590,-20.4884035,-54.746513,cepaberto,Success
79841000,-22.223561,-54.8125486,cepaberto,Success
79831230,-22.223561,-54.8125486,cepaberto,Success
79008001,-20.4697105,-54.6201211,cepaberto,Success
79906616,-22.5601024,-55.6960339,cepaberto,Success
79280000,-21.6994321,-57.8893611,cepaberto,Success
79825020,-22.2230361,-54.8190988,cepaberto,Success
79002971,-20.4641561,-54.6117837,cepaberto,Success
79840580,-22.2480064,-54.7911022,cepaberto,Success
79008060,-20.4697105,-54.6201211,cepaberto,Success
79093562,-20.5043119,-54.6830931,cepaberto,Success
79050180,-20.4697105,-54.6201211,cepaberto,Success
79020000,-20.4697105,-54.6201211,cepaberto,Success
79004380,-20.4697105,-54.6201211,cepaberto,Success
79823050,-22.2202727,-54.8298131,cepaberto,Success
79083600,-20.5133095,-54.6344654,cepaberto,Success
79060005,-20.4986674,-54.6108662,cepaberto,Success
79071222,-20.5264157,-54.6023511,cepaberto,Success
79380000,-20.235958,-56.3751037,cepaberto,Success
79013545,-20.4164169,-54.5785882,cepaberto,Success
79101000,-20.4697105,-54.6201211,cepaberto,Success
79051000,-20.4848661,-54.6012706,cepaberto,Success
79017160,-20.3781524,-54.5653309,cepaberto,Success
79033480,-20.4229777,-54.576515,cepaberto,Success
79020300,-20.4697105,-54.6201211,cepaberto,Success
79108535,-20.4883854,-54.7464287,cepaberto,Success
79904970,-22.5389049,-55.7269275,cepaberto,Success
79580017,-19.7282986,-51.9256122,azure,Success
79002070,-20.4697105,-54.6201211,cepaberto,Success
79002351,-20.4697105,-54.6201211,cepaberto,Success
79814240,-22.2492228,-54.824943,cepaberto,Success
79804020,-22.223561,-54.8125486,cepaberto,Success
79602021,-20.7849776,-51.6996045,cepaberto,Success
79823020,-22.223561,-54.8125486,cepaberto,Success
79570000,-20.0877391,-51.0966063,cepaberto,Success
79017131,-20.3987757,-54.5664874,cepaberto,Success
79620240,-20.7881689,-51.7030483,cepaberto,Success
79600020,-20.7881689,-51.7030483,cepaberto,Success
79092050,-20.4942247,-54.6545122,cepaberto,Success
79304080,-19.0007421,-57.6326792,cepaberto,Success
79002075,-20.4697105,-54.6201211,cepaberto,Success
